ear_data,ear
2003-10-16,49260.29739
2003-10-17,48839.00702
2003-10-18,48484.30412
2003-10-19,48196.7206
2003-10-20,47750.21088
2003-10-21,47305.25425
2003-10-22,46897.28278
2003-10-23,46559.62215
2003-10-24,46219.238170000004
2003-10-25,45876.4499
2003-10-26,45618.85836
2003-10-27,45365.29512
2003-10-28,45086.51975
2003-10-29,44842.70832
2003-10-30,44564.37277
2003-10-31,44384.36904
2003-11-01,44008.72292
2003-11-02,43994.02805
2003-11-03,43809.01001
2003-11-04,43523.43349
2003-11-05,43207.290160000004
2003-11-06,42988.655790000004
2003-11-07,42774.67384
2003-11-08,42626.8467
2003-11-09,42515.53663
2003-11-10,42213.09527
2003-11-11,41830.300760000006
2003-11-12,41388.73421
2003-11-13,41062.41378
2003-11-14,40780.184760000004
2003-11-15,40622.67689
2003-11-16,40563.57138
2003-11-17,40487.64333
2003-11-18,40326.177729999996
2003-11-19,40273.398180000004
2003-11-20,40295.9933
2003-11-21,40262.18522
2003-11-22,40077.14577
2003-11-23,40024.95506
2003-11-24,39842.327040000004
2003-11-25,39649.57149
2003-11-26,39567.77847
2003-11-27,39438.22752
2003-11-28,39317.8041
2003-11-29,39161.90599
2003-11-30,39146.090580000004
2003-12-01,39177.91987
2003-12-02,39209.33078
2003-12-03,39228.713540000004
2003-12-04,39323.89636
2003-12-05,39436.24194
2003-12-06,39821.41946
2003-12-07,40135.95993
2003-12-08,40368.06929
2003-12-09,40592.38442
2003-12-10,40705.80079
2003-12-11,40682.25507
2003-12-12,40738.03388
2003-12-13,40819.5
2003-12-14,40939.73143
2003-12-15,40874.46963
2003-12-16,40816.82437
2003-12-17,40849.87984
2003-12-18,40816.80189
2003-12-19,40715.611750000004
2003-12-20,40679.14373
2003-12-21,40739.02121
2003-12-22,40720.18379
2003-12-23,40926.26442
2003-12-24,41061.09826
2003-12-25,41196.33641
2003-12-26,41215.98102
2003-12-27,41284.58938
2003-12-28,41397.25369
2003-12-29,41429.515230000005
2003-12-30,41405.53642
2003-12-31,41515.7393
2005-01-01,72343.38422
2005-01-02,72487.3534
2005-01-03,72568.72089
2005-01-04,72852.82241000001
2005-01-05,73209.99359
2005-01-06,73605.19241
2005-01-07,73891.86839
2005-01-08,74279.01763
2005-01-09,74963.83527000001
2005-01-10,75305.91439
2005-01-11,75611.26367
2005-01-12,76168.79995
2005-01-13,76489.44678
2005-01-14,76597.96268000001
2005-01-15,76675.52158
2005-01-16,76889.68077
2005-01-17,77530.01702
2005-01-18,78210.18945
2005-01-19,79011.82784
2005-01-20,79715.14886
2005-01-21,80474.87313
2005-01-22,81057.69262
2005-01-23,81409.60833
2005-01-24,81585.78968
2005-01-25,81810.44527
2005-01-26,82198.28935
2005-01-27,82545.6165
2005-01-28,82862.29883
2005-01-29,83571.00265
2005-01-30,84005.00205
2005-01-31,84368.28646999999
2005-02-01,84822.45580000001
2005-02-02,85062.99771
2005-02-03,85191.90327
2005-02-04,85413.64406
2005-02-05,85740.83684
2005-02-06,86082.93000000001
2005-02-07,86152.18408
2005-02-08,86048.47672
2005-02-09,85967.20873
2005-02-10,85890.62861
2005-02-11,85862.22506
2005-02-12,85867.22509
2005-02-13,85910.19604000001
2005-02-14,86117.29191
2005-02-15,86426.6838
2005-02-16,86554.24205
2005-02-17,86636.5741
2005-02-18,86772.59328
2005-02-19,86923.6333
2005-02-20,87194.11803
2005-02-21,87357.74654
2005-02-22,87447.61747
2005-02-23,87483.68081
2005-02-24,87421.84522
2005-02-25,87412.59022
2005-02-26,87525.15573
2005-02-27,87860.35549
2005-02-28,88073.95475
2005-03-01,88314.91530000001
2005-03-02,88619.03777000001
2005-03-03,89068.93781999999
2005-03-04,89327.01854
2005-03-05,89644.43158
2005-03-06,89922.03666
2005-03-07,90105.45914
2005-03-08,90212.21636
2005-03-09,90268.43547
2005-03-10,90259.10253999999
2005-03-11,90248.74130000001
2005-03-12,90383.53349
2005-03-13,90498.43934
2005-03-14,90574.20415
2005-03-15,90789.12959
2005-03-16,91168.00258
2005-03-17,91446.40926
2005-03-18,91855.65047000001
2005-03-19,92302.59307
2005-03-20,92830.20081000001
2005-03-21,93151.25202
2005-03-22,93588.54232000001
2005-03-23,93878.57281
2005-03-24,94240.95652
2005-03-25,94840.0665
2005-03-26,95231.29359
2005-03-27,95456.6939
2005-03-28,95529.23888
2005-03-29,95534.01205
2005-03-30,95586.3447
2005-03-31,95681.47085
2005-04-01,95857.56717
2005-04-02,95989.42277
2005-04-03,96188.0359
2005-04-04,96342.89105
2005-04-05,96597.63105
2005-04-06,96730.82009000001
2005-04-07,96792.32253
2005-04-08,96762.88329
2005-04-09,96758.91166
2005-04-10,96826.3785
2005-04-11,96813.47098
2005-04-12,96747.2665
2005-04-13,96737.23832
2005-04-14,96653.53765
2005-04-15,96557.4471
2005-04-16,96492.69645
2005-04-17,96519.74559
2005-04-18,96418.01688
2005-04-19,96279.3456
2005-04-20,96108.42655
2005-04-21,96014.8111
2005-04-22,95914.82694
2005-04-23,95924.11755
2005-04-24,95944.37246
2005-04-25,95941.39379
2005-04-26,96032.30707000001
2005-04-27,96092.78110000001
2005-04-28,96111.37647
2005-04-29,96043.13647
2005-04-30,96250.10446
2005-05-01,96479.24932
2005-05-02,96501.55392
2005-05-03,96400.47059000001
2005-05-04,96271.06151
2005-05-05,96174.02782
2005-05-06,95985.2156
2005-05-07,95947.34399
2005-05-08,95877.21045
2005-05-09,95735.34074
2005-05-10,95566.46436
2005-05-11,95441.26805
2005-05-12,95235.36385000001
2005-05-13,95096.416
2005-05-14,94970.01396
2005-05-15,94885.05093
2005-05-16,94696.32372
2005-05-17,94527.97909000001
2005-05-18,94356.69095
2005-05-19,94202.42375
2005-05-20,94013.52596
2005-05-21,93934.07963000001
2005-05-22,94087.31025000001
2005-05-23,94173.57058
2005-05-24,94271.68895
2005-05-25,94769.17611
2005-05-26,95405.86649
2005-05-27,95677.21592
2005-05-28,95925.41682
2005-05-29,96133.85962
2005-05-30,96190.07822
2005-05-31,96216.96397
2005-06-01,96213.75813
2005-06-02,96138.4543
2005-06-03,96102.42648000001
2005-06-04,96035.76078
2005-06-05,96025.51968
2005-06-06,95915.22368
2005-06-07,95766.26878
2005-06-08,95664.04365
2005-06-09,95450.95519
2005-06-10,95256.82398
2005-06-11,95130.88299
2005-06-12,95068.73497
2005-06-13,94913.24108
2005-06-14,94715.47128
2005-06-15,94556.65797
2005-06-16,94513.57993
2005-06-17,94353.14926
2005-06-18,94355.0632
2005-06-19,94489.27279
2005-06-20,94430.20224
2005-06-21,94431.87549
2005-06-22,94418.62704
2005-06-23,94384.45713
2005-06-24,94355.01768
2005-06-25,94315.08195
2005-06-26,94334.08137
2005-06-27,94183.43845
2005-06-28,94077.25588
2005-06-29,93938.03843
2005-06-30,93813.66475
2005-07-01,93696.61720000001
2005-07-02,93590.51981
2005-07-03,93584.73264
2005-07-04,93473.71339
2005-07-05,93288.63156000001
2005-07-06,93112.86878
2005-07-07,92946.35407
2005-07-08,92827.56197
2005-07-09,92637.73555
2005-07-10,92488.97215
2005-07-11,92272.95484
2005-07-12,92033.41304
2005-07-13,91879.35922
2005-07-14,91570.2584
2005-07-15,91380.17687
2005-07-16,91167.67008
2005-07-17,90988.7228
2005-07-18,90778.01024
2005-07-19,90643.7929
2005-07-20,90480.17892
2005-07-21,90326.64993
2005-07-22,90090.92345
2005-07-23,89952.89726
2005-07-24,89893.20304000001
2005-07-25,89746.12752000001
2005-07-26,89581.0169
2005-07-27,89411.14044
2005-07-28,89235.58328
2005-07-29,89036.12584
2005-07-30,88839.85976
2005-07-31,88748.06703
2005-08-01,88522.19165
2005-08-02,88315.18129000001
2005-08-03,87980.03837
2005-08-04,87664.66819000001
2005-08-05,87370.18422
2005-08-06,87074.85618
2005-08-07,86912.85198
2005-08-08,86519.25619
2005-08-09,86184.24094
2005-08-10,85830.66567
2005-08-11,85553.61393
2005-08-12,85194.50682
2005-08-13,84973.81577
2005-08-14,84834.35008
2005-08-15,84496.84544
2005-08-16,84175.73772
2005-08-17,83875.91338
2005-08-18,83555.5858
2005-08-19,83238.44262
2005-08-20,82946.30597
2005-08-21,82712.89872000001
2005-08-22,82386.72023
2005-08-23,82071.07345
2005-08-24,81708.54803
2005-08-25,81430.65946
2005-08-26,81125.79973
2005-08-27,80860.32933000001
2005-08-28,80585.97254
2005-08-29,80248.60283999999
2005-08-30,79853.92188
2005-08-31,79587.79818
2005-09-01,79329.79527
2005-09-02,79145.71299
2005-09-03,78984.34671
2005-09-04,78884.98614000001
2005-09-05,78716.22985
2005-09-06,78559.94870000001
2005-09-07,78452.58158
2005-09-08,78278.76182
2005-09-09,78045.19864
2005-09-10,77826.98292
2005-09-11,77636.56082
2005-09-12,77306.8717
2005-09-13,77109.18015
2005-09-14,76847.497
2005-09-15,76630.58601
2005-09-16,76406.76030000001
2005-09-17,76285.09566
2005-09-18,76180.24639
2005-09-19,75995.19989
2005-09-20,75883.6272
2005-09-21,75717.41023000001
2005-09-22,75467.31531
2005-09-23,75235.20598
2005-09-24,75121.15828
2005-09-25,75073.34339000001
2005-09-26,74944.17537
2005-09-27,74864.89282000001
2005-09-28,74691.61202
2005-09-29,74461.52393
2005-09-30,74269.24365
2005-10-01,74111.38125
2005-10-02,74006.37593
2005-10-03,73766.94752
2005-10-04,73546.12845
2005-10-05,73273.84256
2005-10-06,73084.06578
2005-10-07,72908.01915
2005-10-08,72782.00018
2005-10-09,72623.30107
2005-10-10,72369.21308
2005-10-11,72120.56482
2005-10-12,72024.13378999999
