nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
PROMISSÃO;40;Reservatório com Usina;TIETE;;SE;SUDESTE;2005-01-01;152.0;66.32;152.0;66.32
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;;S;SUL;2005-01-01;33.0;54.58;33.0;54.58
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;;SE;SUDESTE;2005-01-01;114.0;88.66;112.0;87.1
ROSAL;217;Fio dagua;ITABAPOANA;;SE;SUDESTE;2005-01-01;178.0;171.51;19.0;18.31
ROSANA;63;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;193.0;58.63;193.0;58.63
SA CARVALHO;193;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;100.0;65.44;86.0;56.28
SALTO CAXIAS;82;Fio dagua;IGUACU;;S;SUL;2005-01-01;360.0;51.09;360.0;51.09
SALTO GRANDE CM;134;Fio dagua;DOCE;;SE;SUDESTE;2005-01-01;135.0;59.4;83.0;36.52
SALTO GRANDE CS;50;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;50.0;50.01;50.0;50.01
SALTO OSORIO;78;Fio dagua;IGUACU;;S;SUL;2005-01-01;324.0;53.64;324.0;53.64
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;;S;SUL;2005-01-01;462.0;54.42;462.0;54.42
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;17.0;40.2;17.0;40.2
SANTA CECILIA;125;Reservatório Com Usina de Bombeamento;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;0.0;0.0;0.0;0.0
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-01;1870.0;74.47;1870.0;74.47
SEGREDO;76;Reservatório com Usina;IGUACU;;S;SUL;2005-01-01;443.0;53.82;443.0;53.82
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;;SE;SUDESTE;2005-01-01;739.0;51.1;739.0;51.1
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;;NE;NORDESTE;2005-01-01;900.0;81.79;900.0;81.79
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-01;49.0;61.78;49.0;61.78
STA.CLARA-MG;283;Fio dagua;MUCURI;;SE;SUDESTE;2005-01-01;37.0;46.91;37.0;46.91
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-01;195.0;54.35;195.0;54.35
