din_instante,cmo
2013-02-15,154.047557
2013-02-22,213.8559354
2013-03-01,309.1538168
2013-03-08,368.20057900000006
2013-03-15,336.0939872
2013-03-22,336.0032798
2013-03-29,314.8981702
2013-04-05,296.4740704
2013-04-12,187.4754001
2013-04-19,149.9070027
2013-04-26,127.4576657
2013-05-03,273.9430317
2013-05-10,337.1132576
2013-05-17,352.13295719999996
2013-05-24,351.442971
2013-05-31,352.0629586
2013-06-07,320.93358120000005
2013-06-14,175.51648960000003
2013-06-21,187.85624280000002
2013-06-28,160.80486919999998
2013-07-05,87.8119958
2013-07-12,96.5115262
2013-07-19,114.2512212
2013-07-26,123.1175376
2013-08-02,148.047039
2013-08-09,159.09681799999998
2013-08-16,131.9916204
2013-08-23,164.5312626
2013-08-30,149.5426354
2013-09-06,255.91383459999997
2013-09-13,264.8928712
2013-09-20,271.99456
2013-09-27,257.32735620000005
2013-10-04,244.865442
2013-10-11,213.8587782
2013-10-18,240.8472592
2013-10-25,245.5434783
2013-11-01,307.0238594
2013-11-08,315.32369339999997
2013-11-15,314.73370520000003
2013-11-22,333.093338
2013-11-29,356.95286079999994
2013-12-06,303.4039318
2013-12-13,271.13457719999997
2013-12-20,303.9339212
2013-12-27,290.7641846
2014-01-03,247.0050598
2014-01-10,276.69102380000004
2014-01-17,386.8122636
2014-01-24,407.5318492
2014-01-31,480.99037999999996
2014-02-07,1010.4348101
2014-02-14,1423.4922594000002
2014-02-21,1511.7402671
2014-02-28,1427.6504366
2014-03-07,1170.2354648
2014-03-14,1000.0350218000001
2014-03-21,1205.1195479
2014-03-28,1239.3474528
2014-04-04,937.6043681
2014-04-11,1191.1664457
2014-04-18,1066.8506389
2014-04-25,917.4970198000001
2014-05-02,817.1181961
2014-05-09,745.0464546
2014-05-16,833.5180893000002
2014-05-23,947.8697792999999
2014-05-30,832.2033556000001
2014-06-06,578.8406215
2014-06-13,333.721126
2014-06-20,302.3448289
2014-06-27,362.5545568
2014-07-04,280.410478
2014-07-11,512.1587562000001
2014-07-18,670.3789336
2014-07-25,710.1457968
2014-08-01,584.0683184000001
2014-08-08,824.4935098
2014-08-15,669.7266052
2014-08-22,703.0559386
2014-08-29,700.6059875999999
2014-09-05,719.983827
2014-09-12,693.9561206000001
2014-09-19,759.9548006
2014-09-26,731.5753682
2014-10-03,664.1067176
2014-10-10,646.5997832
2014-10-17,802.3639524
2014-10-24,852.682946
2014-10-31,890.1021976
2014-11-07,1009.7998036000001
2014-11-14,1092.0481585999999
2014-11-21,1125.8874818000002
2014-11-28,1048.1190372
2014-12-05,549.8190034
2014-12-12,659.7468048000001
2014-12-19,645.2770942
2014-12-26,656.6968658000001
2015-01-02,529.3494128
2015-01-09,494.39011200000004
2015-01-16,917.5516486000001
2015-01-23,1263.2429205
2015-01-30,1439.5648942999999
2015-02-06,1658.8487348
2015-02-13,2006.4485489
2015-02-20,1212.3001205
2015-02-27,1473.9857999
2015-03-06,1162.4135790999999
2015-03-13,1086.6752686
2015-03-20,1025.2509408
2015-03-27,1143.3046694
2015-04-03,791.3503912000001
2015-04-10,841.2102482
2015-04-17,876.4799682
2015-04-24,900.5667010000001
2015-05-01,920.140171
2015-05-08,414.92572340000004
2015-05-15,391.85795440000004
2015-05-22,418.3376384
2015-05-29,447.9765534
2015-06-05,367.9026418
2015-06-12,379.3324132
2015-06-19,349.1730164
2015-06-26,361.442771
2015-07-03,374.8810153
2015-07-10,315.4736904
2015-07-17,239.18886530000003
2015-07-24,166.9508707
2015-07-31,190.20177869999998
2015-08-07,135.3307867
2015-08-14,136.1124408
2015-08-21,143.22166470000002
2015-08-28,145.3875778
2015-09-04,260.3647926
2015-09-11,229.2577631
2015-09-18,196.626758
2015-09-25,211.2809104
2015-10-02,191.0661786
2015-10-09,202.37595240000002
2015-10-16,189.48621020000002
2015-10-23,205.35096090000002
2015-10-30,207.45971550000002
2015-11-06,224.35262880000002
2015-11-13,194.0124047
2015-11-20,191.0086791
2015-11-27,207.6573363
2015-12-04,166.7515378
2015-12-11,150.1176252
2015-12-18,121.08025380000001
2015-12-25,131.6202488
2016-01-01,92.31677409999999
2016-01-08,87.3178718
2016-01-15,93.37756490000001
2016-01-22,60.030049500000004
2016-01-29,56.93557560000001
2016-02-05,38.942761600000004
2016-02-12,18.998839900000004
2016-02-19,29.191223299999997
2016-02-26,43.0080178
2016-03-04,58.2932267
2016-03-11,73.4548372
2016-03-18,61.0278708
2016-03-25,55.1654302
2016-04-01,71.3257529
2016-04-08,76.79969270000001
2016-04-15,78.111356
2016-04-22,79.8755747
2016-04-29,80.4444999
2016-05-06,72.6154547
2016-05-13,65.9058752
2016-05-20,61.9911422
2016-05-27,60.1201037
2016-06-03,70.239244
2016-06-10,56.3011022
2016-06-17,70.6257755
2016-06-24,56.276058500000005
2016-07-01,62.287694599999995
2016-07-08,64.6249517
2016-07-15,66.4954812
