,Date,Price,change,cmo,ear,ena
137,2019-11-22,68847.6,0.87,323.293534,26416.741479,14659.60463229
138,2019-11-08,68415.09,-0.7,333.9133216,28191.77817241,11504.71261142
139,2019-11-01,68256.96,0.45,309.2738144,29710.61873534,10482.44392438
140,2019-10-25,65270.99,-0.7,265.1246974,31624.73099125,9188.12010444
141,2019-10-18,65726.61,0.62,262.7147456,34103.95357078,9140.9094448
142,2019-10-11,66448.69,0.27,259.4848102,36613.14230825,8898.087206260001
143,2019-10-04,67654.1,0.59,229.6054078,38850.15477528,8543.29470953
144,2019-09-27,67378.78,-0.1,224.4087741,41114.96696647,8322.43805748
145,2019-09-20,68291.56,-1.0,218.6669734,43758.41519483,7955.00398619
146,2019-09-13,67829.85,-0.7,203.0866474,46650.66164336,8632.542749600001
147,2019-09-06,67621.86,-0.6,194.9699302,49238.56221351,9585.40767724
148,2019-08-30,67856.73,1.39,227.08460180000003,51342.15964668,9022.84471481
149,2019-08-23,66156.84,-1.4,229.04534740000005,53183.97575394,9604.38296376
150,2019-08-16,66746.77,1.03,222.3932818,55166.84802869,10391.18210733
151,2019-08-09,68509.29,0.72,220.6920378,56883.86238105,11132.71602856
152,2019-08-02,67230.81,-0.0,203.458834,58113.91791892,11312.10801416
153,2019-07-26,65330.5,0.11,180.5863882,59405.95314171,12264.71812989
154,2019-07-19,66324.73,-0.6,169.9366012,60332.693432600005,13758.006559840002
155,2019-07-12,66667.92,-0.6,172.2265554,61163.05599983,15268.78360522
156,2019-07-05,65164.86,0.23,164.1867162,61383.89984044,16864.90877309
157,2019-06-28,63830.97,1.23,122.397552,61873.28421724,15875.99248177
158,2019-06-21,62210.6,0.01,69.69860600000001,62496.42020325,17577.81156479
159,2019-06-14,61417.69,-0.4,0.0,62460.28391982,20704.17837015
160,2019-06-07,61982.69,0.12,0.0,62294.68786581,22725.88077947
161,2019-05-31,61954.74,2.69,89.19522900000001,61244.14911587,27460.02074044
162,2019-05-24,58257.93,-0.4,113.7746717,60521.96161263,24476.83254538
163,2019-05-17,56362.14,-1.0,66.01995,59779.53083218,24440.69573431
164,2019-05-10,58766.59,-0.0,120.64956150000002,59013.60637538,25281.13003132
165,2019-05-03,58578.61,-0.2,103.7272065,58303.69069262,26292.82970934
166,2019-04-26,58161.63,0.19,125.1267765,57369.04282747,29630.80190959
167,2019-04-12,56073.25,-1.4,142.5166715,53750.21925809,32566.60304411
168,2019-04-05,58395.16,1.1,154.8736965,51731.908876010006,28103.60379277
169,2019-03-29,57449.26,0.66,207.3765052,51184.78625123,33243.52713201
170,2019-03-22,56429.31,0.62,176.5646347,48876.54484768,39019.81235777
171,2019-03-15,57328.06,0.39,223.8325589,45753.51603213,39212.66411182
172,2019-03-08,55585.23,1.8,222.6103805,42747.54608919,40784.12030106
173,2019-03-01,55399.41,-0.7,304.4678299,38961.44205166,34632.86951284
174,2019-02-22,55422.26,0.58,383.220333,36849.88257513,31956.28434642
175,2019-02-15,55303.33,-0.2,434.06675120000006,34750.99769096,25453.5081712
176,2019-02-08,54886.6,0.6,376.7198829,34667.53236176,22721.27743798
177,2019-02-01,55826.64,0.06,291.8600656,35132.22894359,21063.71008437
178,2019-01-18,52869.51,0.65,147.7939172,36943.38115188,24342.17727266
179,2019-01-11,52145.57,0.29,132.1635243,37726.355571060005,27883.7335283
180,2019-01-04,51614.4,0.54,113.0084415,37121.78641207,28464.56893523
181,2018-12-28,49266.22,1.69,76.14696140000001,35690.00333555,23085.44948942
182,2018-12-21,47722.44,-0.5,68.5964702,34821.86317879,24010.82718136
183,2018-12-14,48290.89,0.03,62.1887562,34992.13699481,27579.88251637
184,2018-12-07,47321.27,-0.6,54.13891720000001,34479.85832719,35463.75742095
185,2018-11-30,47257.38,-1.0,96.898062,32130.64251749,34239.2289962
186,2018-11-23,46682.73,-0.3,113.397732,29419.52635256,28800.57963762
187,2018-11-16,47218.9,1.79,114.4777104,28140.87643015,23953.04810168
188,2018-11-09,46183.33,0.8,143.9271214,27517.73546463,21220.7896569
189,2018-10-26,45497.38,1.86,226.3154736,27843.12576701,19870.2915621
190,2018-10-19,43980.48,1.91,267.29465400000004,28029.70653885,20272.388159100003
191,2018-10-05,41414.79,0.43,387.0222594,29090.89603168,12638.85535047
192,2018-09-28,39350.87,0.12,428.0514388,30747.597594090003,12014.87717091
193,2018-09-21,39847.73,1.56,478.9304212,32345.23551132,12067.544251800002
194,2018-09-14,38829.58,-0.5,482.0703584,33674.96414831,9257.63046437
195,2018-08-31,39715.85,0.61,766.2646744,36374.07838672,10161.00533992
196,2018-08-24,39368.29,-0.4,763.6547266,38211.35188791,10606.82843743
197,2018-08-17,40705.44,0.17,757.8248432,40353.89652307,10483.73621621
198,2018-08-10,39650.19,-1.7,784.8843019999999,42206.87041858,11752.5972957
199,2018-08-03,41595.68,1.83,763.7547245999999,43582.1606545,10123.30402606
200,2018-07-27,40941.74,-0.0,603.8179234,45261.71844397,10532.77810366
201,2018-07-20,41243.2,1.84,588.288234,46969.40236266,10767.17304428
202,2018-07-13,39328.46,0.59,543.7391250000001,48606.48154692,11516.2239852
203,2018-07-06,39121.87,-0.0,517.6296472,49924.00708952,13452.72503727
204,2018-06-29,38562.4,0.25,515.0396989999999,51140.65991323,13801.50745538
205,2018-06-22,38690.29,0.84,471.140577,52273.94498596,14288.11493226
