ena_data,ena
2006-05-07,17921.08413
2006-05-08,17715.49155
2006-05-09,17726.668130000002
2006-05-10,17701.4271
2006-05-11,17463.67969
2006-05-12,17327.95834
2006-05-13,17150.316740000002
2006-05-14,16897.76839
2006-05-15,16798.28784
2006-05-16,16676.68661
2006-05-17,16259.622730000001
2006-05-18,16193.084700000001
2006-05-19,16438.11587
2006-05-20,16734.8203
2006-05-21,16943.29202
2006-05-22,17155.494300000002
2006-05-23,17360.23483
2006-05-24,17647.70437
2006-05-25,17802.10554
2006-05-26,17639.10146
2006-05-27,17416.29719
2006-05-28,17157.18871
2006-05-29,16769.10351
2006-05-30,16344.841330000001
2006-05-31,16087.40565
2006-06-01,15762.06397
2006-06-02,15494.94091
2006-06-03,15349.24166
2006-06-04,15143.23153
2006-06-05,15076.94175
2006-06-06,14966.29091
2006-06-07,14869.512630000001
2006-06-08,14726.21718
2006-06-09,14585.69482
2006-06-10,14404.28715
2006-06-11,14338.309700000002
2006-06-12,14295.52978
2006-06-13,14052.753929999999
2006-06-14,13909.83473
2006-06-15,13815.06355
2006-06-16,13725.14317
2006-06-17,13657.79708
2006-06-18,13422.66681
2006-06-19,13485.05568
2006-06-20,13655.27706
2006-06-21,13848.752910000001
2006-06-22,13618.98427
2006-06-23,13386.819880000001
2006-06-24,13128.301420000002
2006-06-25,13014.374530000001
2006-06-26,13065.103350000001
2006-06-27,13022.167720000001
2006-06-28,12991.431139999999
2006-06-29,13088.82727
2006-06-30,13106.74226
2006-07-01,13091.80676
2006-07-02,13156.29539
2006-07-03,13137.693019999999
2006-07-04,13006.44729
2006-07-05,12916.83203
2006-07-06,12906.88895
2006-07-07,12872.478280000001
2006-07-08,12872.67685
2006-07-09,12871.52068
2006-07-10,13394.98597
2006-07-11,13126.7495
2006-07-12,13084.52335
2006-07-13,12933.22143
2006-07-14,12728.31044
2006-07-15,12629.9082
2006-07-16,12522.449200000001
2006-07-17,12388.877050000001
2006-07-18,12272.99263
2006-07-19,12086.00288
2006-07-20,11866.67362
2006-07-21,11703.988860000001
2006-07-22,11627.99749
2006-07-23,11441.788079999998
2006-07-24,11280.49286
2006-07-25,11360.90837
2006-07-26,12085.49619
2006-07-27,11916.71927
2006-07-28,11674.59021
2006-07-29,11476.62464
2006-07-30,11285.12675
2006-07-31,11093.76924
2006-08-01,10877.39088
2006-08-02,11008.1973
2006-08-03,10860.30682
2006-08-04,10808.00311
2006-08-05,10838.88243
2006-08-06,10835.52092
2006-08-07,10720.11882
2006-08-08,10235.90056
2006-08-09,10297.68679
2006-08-10,10234.65969
2006-08-11,10140.83172
2006-08-12,10082.90402
2006-08-13,10059.07488
2006-08-14,9926.9067
2006-08-15,9878.31754
2006-08-16,11567.53822
2006-08-17,12152.3148
