nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-01;1483.661;;3340.803;;44.4103
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2021-12-01;10.192;;257.288;;3.9613
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2021-12-01;89.165;;454.095;;19.6358
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-01;251.197;;373.966;;67.1711
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-01;689.851;;5014.801;;13.7563
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2021-12-01;138.772;;447.497;;31.0107
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2021-12-01;7621.067;2546.749;35277.664;6620.419;21.6031
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;;;2021-12-01;340.005;;900.655;;37.7509
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2021-12-01;11017.546;;30100.282;;36.6028
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-12-01;0.0;;2328.579;;0.0
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2021-12-01;712.086;5702.299;2345.606;16040.745;30.3583
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;;;2021-12-01;2043.879;;7721.097;;26.4714
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;507.186;;4340.282;;11.6856
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2021-12-02;1410.354;;2713.786;;51.97
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2021-12-02;410.884;;785.737;;52.2928
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;1559.584;;2991.427;;52.1351
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;509.205;;2751.514;;18.5064
BILLINGS;118;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2021-12-02;1492.646;;2444.556;;61.06
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2021-12-02;124.683;;264.178;;47.1966
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;3.086;;20.753;;14.8701
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;268.393;;853.4;;31.4498
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2021-12-02;30.609;;30.877;;99.132
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2021-12-02;376.23;;1566.693;;24.0143
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2021-12-02;122.857;;227.826;;53.9258
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2021-12-02;1719.818;;3889.672;;44.215
